"","Year","MDACoverageAttempted","MDANumRounds","MDADrugs","MDADrugEfficacy","MDAYearsBetweenRounds","MDAStartYear","ProbGender","RatioAll","Ratio6_7","Ratio15AndOver","Prev_AntigenAll","Prev_Antigen6_7","Prev_Antigen15AndOver","AgEradicated","AgPrevUnder001pc","AgPrevUnder01pc","AgPrevUnder1pc","PrevalenceAll","Prevalence6_7","Eradicated","PrevalenceFagalii","PrevalenceIliili","PrevUnder001pc","PrevUnder01pc","PrevUnder1pc"
"96",2010,"0.65",4,"IDA5+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00356285836734694,0,0,0.0360241244897959,0.00341733,0,0,1
"97",2010,"0.65",4,"IDA5+/DA2-4","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00354055019607843,0,0,0.0345717183333333,0.00334775547058824,0,0,1
"98",2010,"0.65",4,"IDA5+/DA2-4","Default",1,2018,"0.0012-0.00032",6.40097274399782,NA,6.41853139042972,0.0229420927272727,0,0.0314436645454545,0,0,0,0,0.00356451790909091,0,0,0.0344865633636364,0.00348840490909091,0,0,1
"99",2010,"0.65",4,"IDA5+/DA2-4","Default",1,2018,"0.0016-0.00035",6.4271412376907,NA,6.44117182499106,0.0230824575757576,0,0.0316878557575758,0,0,0,0,0.00356975854545455,0,0,0.0348423458787879,0.00337648786060606,0,0,1
"100",2010,"0.65",4,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.4857980651315,NA,6.49855355602904,0.0230655629166667,0,0.0316227258333333,0,0,0,0,0.00356043466666667,0,0,0.0339068767916667,0.00344809565416667,0,0,1
"101",2010,"0.65",4,"IDA5+/DA2-4","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00357445754901961,0,0,0.0340160295098039,0.00343060516666667,0,0,1
"102",2010,"0.65",4,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.48166594567519,NA,6.45086846861566,0.0231050545945946,0,0.0316913372972973,0,0,0,0,0.00357294302702703,0,0,0.0333734501081081,0.00336167144324324,0,0,1
"103",2010,"0.65",5,"DA2+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035931489,0,0,0.035465576,0.0033521123,0,0,1
"104",2010,"0.65",5,"DA2+","Default",1,2018,"0.0012-0.00032",6.41032154621057,NA,6.42806139272776,0.0230206881818182,0,0.0315121209090909,0,0,0,0,0.00358023890909091,0,0,0.0345969781818182,0.00357092027272727,0,0,1
"105",2010,"0.65",5,"DA2+","Default",1,2018,"0.0016-0.00035",6.43914532815246,NA,6.41665423539849,0.0232039842424242,0,0.031787863030303,0,0,0,0,0.00360376321212121,0,0,0.0339835523636364,0.00337079690909091,0,0,1
"106",2010,"0.65",5,"DA2+","Default",1,2018,"0.002-0.00041",6.47692110412961,NA,6.52120288129641,0.0230680289795918,0,0.0316446367346939,0,0,0,0,0.00355865453061224,0,0,0.0327026314693878,0.00351825254693878,0,0,1
"107",2010,"0.65",5,"DA2+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00354207514563107,0,0,0.0330175626213592,0.00321193589320388,0,0,1
"108",2010,"0.65",5,"DA2+","Irvine",1,2018,"0.002-0.00041",6.4568645576082,NA,6.44133768358805,0.0230663838565022,0,0.0316439780269058,0,0,0,0,0.00357563076233184,0,0,0.0318440042152466,0.00338393067264574,0,0,1
"109",2010,"0.65",5,"IDA5+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00350541857142857,0,0,0.0320581632653061,0.00352591714285714,0,0,1
